res1,res2,pair,ind1,ind2,roh1,roh2,roh3,ind1roh1,ind1roh2,ind2roh1,ind2roh2
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI4,1145338398,1143609485,1008628449,395198516,280261230,351998277,270707157
Kanha,Zoo,Kanha-Zoo,BEN_CI18,ZSB_03,11838588,11838588,0,395198516,280261230,305927069,241409256
Kanha,Zoo,Kanha-Zoo,BEN_CI18,ZSB_02,15701833,14904806,0,395198516,280261230,338557583,260820720
Kanha,Zoo,Kanha-Zoo,BEN_CI18,ZSB_04,0,0,0,395198516,280261230,370211960,302302125
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI19,BEN_NE3,0,0,0,351322149,241812071,348824990,277485474
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW10,0,0,0,351322149,241812071,365458206,328923565
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW11,0,0,0,351322149,241812071,310616571,263905963
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW12,0,0,0,351322149,241812071,262764295,227052846
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW13,0,0,0,351322149,241812071,389020649,344174628
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW14,0,0,0,351322149,241812071,222305063,177541519
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW17,0,0,0,351322149,241812071,286658737,256140006
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI19,BEN_NW18,0,0,0,351322149,241812071,281506214,242877521
